company,exact_title,normalised_title_category,azure_in_title,location_work_mode,posted_date,required_experience_range,required_skills,preferred_skills,platform_architecture_expectations,direct_url,date_accessed
Cognizant,"Azure Data Engineer","Azure Data Engineer",yes,"Hyderabad, Telangana, India / Hybrid","2026-08-13","5-12 years","SQL, Python, Azure Data Lake, Azure Synapse Analytics, Azure Data Factory, PySpark","","Azure Data Factory, Azure Databricks, Azure Synapse Analytics, Azure Data Lake Storage","https://careers.cognizant.com/global-en/jobs/00068539073/azure-data-engineer/","2026-08-14"
Cognizant,"Azure Data Engineer (Databricks/Data Factory)","Data Engineer - Azure / Databricks",yes,"Bangalore, Karnataka, India / Hybrid","2026-08-01","3-12 years","Azure Data Factory (ADF), Azure Databricks, PySpark, SQL, Data Lake, ETL/ELT Pipelines, Data Integration, Data Modeling, Azure Cloud Services, Azure Synapse Analytics, Delta Lake, Azure DevOps, CI/CD Pipelines","Power BI, Python, Data Governance, Terraform, Agile/Scrum","Azure Data Factory, Azure Databricks, Azure Synapse Analytics, Delta Lake, Azure DevOps, CI/CD","https://careers.cognizant.com/us-en/jobs/00068556631/azure-data-engineer-databricksdata-factory/","2026-08-14"
Atlas Copco Group,"Data Engineer","Data Engineer - Azure",no,"Vadodara, Gujarat, India","2026-04-24","Not specified","ETL flows, CI/CD pipelines, Azure Data Lake, ADF, Databricks, Power BI, SQL, Python","","Azure Data Lake Storage, Delta Lake, Azure Data Factory, Databricks, Azure SQL, Azure DevOps","https://www.atlascopcogroup.com/sr-rs/careers/jobs/job-overview/job-detail/data-engineer/159808","2026-08-14"
UBTI (Unlimited Innovations),"Azure Data Engineer","Azure Data Engineer",yes,"Chennai, Tamil Nadu, India / WFO","2026-05-27","4-5 years","Python (Pandas, PySpark), Scala, Advanced SQL, Azure ADF, Databricks, Synapse, ADLS Gen2, Fabric, GCP BigQuery, Cloud Functions, GCS, Vertex AI, Datastream","","Azure Data Factory, Azure Databricks, Azure Synapse Analytics, ADLS Gen2, Microsoft Fabric, Delta Lake, ETL/ELT, Data Warehousing","https://ubtiinc.com/careers/azure-data-engineer","2026-08-14"
TechVedika,"Azure Databricks Engineer","Azure Databricks Engineer",yes,"Hyderabad, Telangana, India","~2026-08-04 (10 days ago)","Not specified","Azure Databricks, SQL, Data Warehousing, ETL Development, Data Modeling, Azure Data Factory (ADF), SSIS, Unity Catalog, Git, Azure DevOps, CI/CD","","Azure Databricks, Azure Data Factory, Azure Synapse, Unity Catalog, Delta Lake, CI/CD","https://in.talent.com/view?id=619534507921780328","2026-08-14"
Lufthansa Technik Services India,"Data Engineer (Azure & Databricks)","Data Engineer - Azure / Databricks",no,"Bengaluru, Karnataka, India","2026-06-03","Not specified","Azure Databricks, PySpark, Python, SQL, ADF, Delta Lake, Lakehouse Architecture (Bronze/Silver/Gold), CI/CD, Unity Catalog, Data Quality, Data Governance","Data Scientists collaboration, UI/UX initiatives","Azure Databricks, Azure Data Factory, Delta Lake, Lakehouse Architecture, CI/CD, Unity Catalog","https://in.talent.com/view?id=622236351501380328","2026-08-14"
Experian,"Azure Data Engineer","Azure Data Engineer",yes,"Hyderabad, Telangana, India / Hybrid (2 days WFO)","Expired (was active 2026)","Not specified","Azure Data Factory, Azure Databricks, Azure Synapse Analytics, Microsoft Fabric, Azure Data Lake Storage (ADLS), Azure Lakehouse, Warehouse, SQL, Python/Scala, Data Modeling, Data Warehousing, RBAC, Data Encryption, Monitoring/Alerting","","Azure Data Factory, Azure Databricks, Azure Synapse Analytics, Microsoft Fabric, ADLS Gen2, Azure Lakehouse, CI/CD, Data Governance","https://jobs.experian.com/job/azure-data-engineer-in-hyderabad-india-jid-2127","2026-08-14"
Sample JD (Generic Employer),"Senior Azure Data Engineer","Senior Azure Data Engineer",yes,"Bengaluru, India / Hybrid","Not specified (sample)","4+ years Azure, Azure Data Factory (ADF), Azure Databricks, Advanced PySpark, SQL, Delta Lake, Medallion Architecture, ADLS Gen2, Azure Synapse Analytics, Microsoft Fabric, Snowflake, Azure SQL Database, CI/CD Azure DevOps, Terraform, Data Modeling (Star Schema, Kimball), Data Warehousing, Apache Airflow","Power BI, DAX, Kafka, Event Hubs, Databricks Certified Data Engineer, Python for MLOps, Generative AI pipelines, dbt, Great Expectations","Azure Data Factory, Azure Databricks, Azure Synapse, ADLS Gen2, Delta Lake, Microsoft Fabric, Medallion Architecture, CI/CD, Terraform, Airflow","/Users/vickykumar/All Claude project/Resume/jobs/sample/jd.txt","2026-08-14"
Altysys,"Lead Data Engineer (Azure Data, Fabric)","Data Engineer - Azure / Fabric",no,"Remote (client offices in Pune, Hyderabad, Bangalore, Ahmedabad, Mumbai, Chennai, Coimbatore)","~2026-08-06 (8 days ago)","9-12 years","Azure Data Factory, Azure Synapse Analytics, Azure Databricks, ADLS Gen2, Microsoft Fabric, OneLake, Delta Lake, Spark Engineering, Capacity settings, Workspace deployment, v-order, Compaction, Partitioning, RBAC, PBAC, Data Governance, Unity Catalog, CI/CD","Architectural Assessment, Cost Optimization, Performance Tuning, Security Audit","Azure Data Factory, Azure Synapse, Azure Databricks, ADLS Gen2, Microsoft Fabric, OneLake, Delta Lake, CI/CD, Unity Catalog","https://in.talent.com/view?id=622124085969758952","2026-08-14"
Naukri Aggregate (Multiple Employers),"Azure Data Engineer","Azure Data Engineer",yes,"Pune, Chennai, Bengaluru / Various","2026 (active listings)","4-6 years typical","Azure Data Factory, Azure Databricks, Azure Synapse, Azure Data Lake, Delta Lake, SQL, PySpark","","Azure Data Factory, Azure Databricks, Azure Synapse, ADLS, Delta Lake","https://www.naukri.com/azure-data-engineer-jobs","2026-08-14"
